응대ID,고객ID,제품ID,응대일시,응대채널,응대자,문의유형,상태,응대시간(분),만족도,처리완료일시,비고
SVC000053,CUST00126,PROD0015,2024-02-19 16:42:00,SNS,상담원4,결제 오류,대기중,15,매우만족,2024-05-02 00:06:00,
SVC000054,CUST00994,PROD0036,2024-03-04 18:40:00,SNS,상담원7,결제 오류,진행중,15,만족,,고객 피드백 있음
SVC000055,CUST00217,PROD0047,2024-02-15 17:47:00,라이브채팅,상담원8,결제 오류,미해결,67,보통,2024-03-07 05:42:00,
SVC000056,CUST00306,PROD0046,2024-05-22 13:47:00,SNS,상담원8,반품/교환,해결완료,57,보통,,재문의 필요
SVC000057,CUST00797,PROD0019,2024-01-28 20:36:00,카톡,상담원19,결제 오류,대기중,93,보통,,고객 피드백 있음
SVC000058,CUST00185,PROD0013,2024-04-01 21:29:00,이메일,상담원15,배송 지연,진행중,62,보통,,고객 피드백 있음
SVC000059,CUST00039,PROD0042,2024-06-28 21:27:00,전화,상담원16,계정 문제,해결완료,23,매우불만족,2024-02-11 11:06:00,긴급 처리
SVC000060,CUST00223,PROD0021,2024-01-27 05:50:00,라이브채팅,상담원9,서비스 문의,대기중,36,만족,2024-03-14 09:34:00,
SVC000061,CUST00184,PROD0037,2024-02-16 17:25:00,이메일,상담원12,결제 오류,대기중,54,불만족,2024-06-12 02:04:00,영구차단 고객
SVC000062,CUST00495,PROD0027,2024-05-09 10:42:00,전화,상담원16,계정 문제,해결완료,76,매우만족,2024-02-01 00:15:00,긴급 처리
SVC000063,CUST00427,PROD0029,2024-02-10 17:38:00,전화,상담원4,반품/교환,진행중,59,매우만족,,고객 피드백 있음
SVC000064,CUST00178,PROD0020,2024-04-23 11:57:00,전화,상담원5,반품/교환,해결완료,80,매우만족,2024-03-10 05:07:00,영구차단 고객
SVC000065,CUST00919,PROD0025,2024-03-21 17:20:00,이메일,상담원8,기술 지원,해결완료,45,보통,2024-03-27 03:32:00,영구차단 고객
SVC000066,CUST00428,PROD0006,2024-04-05 13:48:00,라이브채팅,상담원1,가격 정보 문의,해결완료,103,매우만족,2024-05-16 14:32:00,
SVC000067,CUST00294,PROD0036,2024-06-11 13:52:00,라이브채팅,상담원6,가격 정보 문의,대기중,74,불만족,,고객 피드백 있음
SVC000068,CUST00852,PROD0002,2024-03-23 19:15:00,전화,상담원15,프로모션 문의,해결완료,25,보통,2024-03-12 02:22:00,
SVC000069,CUST00151,PROD0022,2024-05-24 17:13:00,이메일,상담원4,가격 정보 문의,해결완료,30,매우만족,2024-03-31 05:24:00,
SVC000070,CUST00384,PROD0032,2024-04-06 17:59:00,전화,상담원11,프로모션 문의,진행중,5,보통,2024-05-19 08:46:00,영구차단 고객
SVC000071,CUST00638,PROD0016,2024-03-06 11:28:00,SNS,상담원5,제품 문의,대기중,85,불만족,,
SVC000072,CUST00813,PROD0018,2024-04-24 12:00:00,라이브채팅,상담원18,가격 정보 문의,대기중,103,보통,2024-01-23 02:10:00,영구차단 고객
SVC000073,CUST00308,PROD0005,2024-01-09 09:38:00,카톡,상담원15,반품/교환,해결완료,31,매우만족,,
SVC000074,CUST00336,PROD0036,2024-01-05 16:08:00,전화,상담원18,기술 지원,진행중,54,불만족,,고객 피드백 있음
SVC000075,CUST00946,PROD0030,2024-03-18 00:19:00,SNS,상담원20,계정 문제,해결완료,118,보통,2024-05-16 06:30:00,영구차단 고객
SVC000076,CUST00746,PROD0045,2024-02-26 06:54:00,라이브채팅,상담원13,결제 오류,진행중,70,만족,2024-06-10 11:01:00,긴급 처리
SVC000077,CUST00892,PROD0019,2024-03-21 00:49:00,이메일,상담원5,가격 정보 문의,진행중,104,만족,2024-04-09 13:06:00,긴급 처리
SVC000078,CUST00375,PROD0023,2024-06-25 08:58:00,라이브채팅,상담원1,프로모션 문의,대기중,69,만족,2024-04-13 06:10:00,
SVC000079,CUST00008,PROD0034,2024-05-21 16:35:00,이메일,상담원18,계정 문제,대기중,14,불만족,,재문의 필요
SVC000080,CUST00341,PROD0013,2024-05-26 18:09:00,이메일,상담원14,제품 불량,진행중,99,매우만족,2024-05-30 23:44:00,재문의 필요
SVC000081,CUST00129,PROD0043,2024-01-25 01:29:00,전화,상담원5,배송 지연,진행중,41,매우만족,,
SVC000082,CUST00776,PROD0029,2024-04-01 04:08:00,전화,상담원6,가격 정보 문의,해결완료,73,불만족,2024-02-28 21:59:00,
SVC000083,CUST00669,PROD0036,2024-03-08 11:56:00,라이브채팅,상담원16,배송 지연,해결완료,45,매우만족,2024-05-06 17:49:00,재문의 필요
SVC000084,CUST00352,PROD0022,2024-05-29 07:14:00,SNS,상담원12,가격 정보 문의,미해결,50,매우불만족,2024-03-23 20:23:00,영구차단 고객
SVC000085,CUST00358,PROD0047,2024-03-06 09:05:00,라이브채팅,상담원20,제품 불량,해결완료,81,만족,,
SVC000086,CUST00517,PROD0036,2024-05-26 12:36:00,카톡,상담원18,결제 오류,진행중,49,만족,,영구차단 고객
SVC000087,CUST00495,PROD0009,2024-02-25 23:04:00,이메일,상담원2,제품 문의,대기중,92,매우만족,2024-01-01 18:22:00,재문의 필요
SVC000088,CUST00086,PROD0039,2024-03-24 15:11:00,이메일,상담원13,서비스 문의,해결완료,31,매우불만족,,긴급 처리
SVC000089,CUST00175,PROD0019,2024-05-04 22:44:00,전화,상담원17,계정 문제,대기중,69,보통,2024-04-05 20:21:00,
SVC000090,CUST00802,PROD0038,2024-05-27 03:38:00,SNS,상담원17,계정 문제,대기중,117,매우불만족,2024-01-02 10:55:00,고객 피드백 있음
SVC000091,CUST00193,PROD0006,2024-06-13 09:02:00,전화,상담원16,결제 오류,대기중,88,보통,2024-02-04 03:38:00,고객 피드백 있음
SVC000092,CUST00311,PROD0047,2024-05-27 12:05:00,카톡,상담원18,기술 지원,해결완료,12,매우만족,2024-01-30 18:08:00,영구차단 고객
SVC000093,CUST00119,PROD0015,2024-01-15 10:22:00,라이브채팅,상담원8,반품/교환,진행중,71,만족,2024-05-21 17:46:00,영구차단 고객
SVC000094,CUST00218,PROD0020,2024-04-21 13:59:00,라이브채팅,상담원3,가격 정보 문의,해결완료,53,만족,2024-01-31 19:51:00,영구차단 고객
SVC000095,CUST00427,PROD0009,2024-01-31 07:47:00,SNS,상담원17,서비스 문의,진행중,100,보통,,
SVC000096,CUST00970,PROD0032,2024-06-16 19:59:00,전화,상담원18,기술 지원,대기중,112,매우불만족,2024-03-22 07:19:00,긴급 처리
SVC000097,CUST00414,PROD0004,2024-01-03 20:49:00,전화,상담원6,서비스 문의,해결완료,93,만족,2024-04-18 09:02:00,재문의 필요
SVC000098,CUST00114,PROD0050,2024-06-10 12:03:00,카톡,상담원8,반품/교환,진행중,93,보통,2024-01-15 09:42:00,
SVC000099,CUST00978,PROD0018,2024-03-19 16:02:00,라이브채팅,상담원13,배송 지연,해결완료,118,매우불만족,2024-02-05 22:16:00,영구차단 고객
SVC000100,CUST00145,PROD0005,2024-03-22 17:36:00,전화,상담원8,가격 정보 문의,대기중,18,매우만족,2024-02-09 08:21:00,
SVC000101,CUST00538,PROD0020,2024-02-08 10:32:00,SNS,상담원19,반품/교환,진행중,66,불만족,2024-01-20 16:23:00,
SVC000102,CUST00648,PROD0023,2024-06-27 07:09:00,라이브채팅,상담원6,계정 문제,해결완료,47,만족,,
SVC000103,CUST00303,PROD0011,2024-01-13 21:46:00,카톡,상담원15,계정 문제,해결완료,31,보통,2024-03-17 13:01:00,
SVC000104,CUST00744,PROD0037,2024-04-10 14:48:00,SNS,상담원10,가격 정보 문의,대기중,116,매우만족,,
SVC000105,CUST00881,PROD0022,2024-06-01 18:32:00,이메일,상담원17,제품 문의,해결완료,100,만족,,영구차단 고객
SVC000106,CUST00588,PROD0004,2024-01-24 07:27:00,카톡,상담원1,결제 오류,해결완료,31,매우만족,,긴급 처리
SVC000107,CUST00987,PROD0029,2024-03-15 12:09:00,SNS,상담원7,결제 오류,해결완료,72,매우불만족,,긴급 처리
SVC000108,CUST00840,PROD0044,2024-02-03 10:05:00,전화,상담원13,계정 문제,해결완료,118,불만족,,영구차단 고객
SVC000109,CUST00345,PROD0034,2024-05-01 18:47:00,이메일,상담원3,계정 문제,대기중,107,매우만족,2024-06-02 03:23:00,긴급 처리
SVC000110,CUST00814,PROD0013,2024-01-13 17:25:00,카톡,상담원19,반품/교환,대기중,79,매우불만족,,영구차단 고객
SVC000111,CUST00964,PROD0042,2024-03-08 02:25:00,전화,상담원15,제품 불량,해결완료,116,보통,2024-03-26 10:56:00,
SVC000112,CUST00801,PROD0009,2024-05-08 13:49:00,이메일,상담원5,프로모션 문의,해결완료,52,불만족,,재문의 필요
SVC000113,CUST00001,PROD0042,2024-06-27 04:48:00,라이브채팅,상담원11,제품 문의,해결완료,71,매우만족,2024-05-29 02:14:00,
SVC000114,CUST00147,PROD0031,2024-02-04 15:35:00,전화,상담원18,기술 지원,미해결,29,만족,,긴급 처리
SVC000115,CUST00287,PROD0007,2024-02-20 15:25:00,SNS,상담원3,프로모션 문의,진행중,68,보통,2024-05-20 17:58:00,
SVC000116,CUST00976,PROD0004,2024-06-15 18:12:00,카톡,상담원6,반품/교환,대기중,28,매우만족,2024-05-20 18:55:00,영구차단 고객
SVC000117,CUST00654,PROD0019,2024-05-23 19:47:00,이메일,상담원3,프로모션 문의,대기중,13,만족,2024-03-17 17:42:00,고객 피드백 있음
SVC000118,CUST00053,PROD0042,2024-05-14 07:15:00,전화,상담원5,프로모션 문의,대기중,12,만족,,고객 피드백 있음
SVC000119,CUST00304,PROD0030,2024-01-19 08:49:00,라이브채팅,상담원9,반품/교환,미해결,107,매우만족,2024-01-11 09:58:00,
SVC000120,CUST00069,PROD0031,2024-04-20 10:43:00,카톡,상담원19,계정 문제,해결완료,99,만족,2024-01-24 21:21:00,긴급 처리
SVC000121,CUST00361,PROD0035,2024-05-27 02:07:00,카톡,상담원13,계정 문제,미해결,63,매우불만족,,
SVC000122,CUST00602,PROD0021,2024-06-20 13:27:00,전화,상담원6,가격 정보 문의,대기중,21,매우만족,,재문의 필요
SVC000123,CUST00958,PROD0031,2024-04-03 11:12:00,라이브채팅,상담원11,프로모션 문의,해결완료,47,매우만족,,
SVC000124,CUST00220,PROD0019,2024-03-23 11:38:00,이메일,상담원14,기술 지원,대기중,99,만족,2024-05-30 00:06:00,
SVC000125,CUST00962,PROD0031,2024-06-16 00:49:00,전화,상담원6,반품/교환,대기중,72,보통,2024-01-11 15:51:00,
SVC000126,CUST00704,PROD0032,2024-03-19 05:22:00,이메일,상담원6,기술 지원,대기중,8,보통,2024-05-18 03:16:00,고객 피드백 있음
SVC000127,CUST00966,PROD0002,2024-06-06 14:39:00,카톡,상담원17,서비스 문의,해결완료,105,보통,,
SVC000128,CUST00575,PROD0010,2024-02-07 14:02:00,이메일,상담원11,결제 오류,진행중,12,매우만족,2024-03-04 02:21:00,고객 피드백 있음
SVC000129,CUST00585,PROD0002,2024-02-29 06:43:00,라이브채팅,상담원15,가격 정보 문의,해결완료,46,만족,,
SVC000130,CUST00161,PROD0002,2024-04-05 04:48:00,SNS,상담원9,결제 오류,대기중,53,보통,2024-05-25 22:55:00,
SVC000131,CUST00681,PROD0024,2024-01-22 03:47:00,라이브채팅,상담원17,가격 정보 문의,미해결,10,매우불만족,,재문의 필요
SVC000132,CUST00089,PROD0017,2024-01-14 07:39:00,이메일,상담원7,제품 문의,진행중,77,보통,2024-04-30 06:46:00,
SVC000133,CUST00688,PROD0032,2024-02-07 09:00:00,전화,상담원7,반품/교환,진행중,46,매우만족,2024-02-13 23:52:00,고객 피드백 있음
SVC000134,CUST00781,PROD0016,2024-03-28 22:51:00,카톡,상담원1,결제 오류,대기중,76,만족,2024-05-10 07:26:00,고객 피드백 있음
SVC000135,CUST00585,PROD0016,2024-01-29 09:28:00,SNS,상담원8,기술 지원,해결완료,36,매우만족,,영구차단 고객
SVC000136,CUST00757,PROD0046,2024-04-30 00:21:00,전화,상담원5,반품/교환,진행중,19,보통,2024-03-10 18:50:00,재문의 필요
SVC000137,CUST00589,PROD0039,2024-02-23 23:34:00,전화,상담원19,기술 지원,대기중,86,매우만족,2024-02-18 15:35:00,
SVC000138,CUST00159,PROD0031,2024-02-24 06:34:00,라이브채팅,상담원8,프로모션 문의,해결완료,91,매우만족,,
SVC000139,CUST00489,PROD0043,2024-05-13 08:35:00,이메일,상담원17,결제 오류,해결완료,73,만족,2024-06-05 21:24:00,영구차단 고객
SVC000140,CUST00971,PROD0024,2024-05-03 19:46:00,라이브채팅,상담원19,프로모션 문의,대기중,118,만족,,고객 피드백 있음
SVC000141,CUST00324,PROD0001,2024-02-06 22:44:00,이메일,상담원12,계정 문제,해결완료,31,만족,2024-03-29 04:25:00,
SVC000142,CUST00610,PROD0011,2024-06-20 00:24:00,라이브채팅,상담원15,서비스 문의,대기중,101,만족,2024-04-15 18:18:00,고객 피드백 있음
SVC000143,CUST00381,PROD0021,2024-05-29 21:33:00,전화,상담원4,제품 문의,해결완료,70,보통,,재문의 필요
SVC000144,CUST00102,PROD0004,2024-01-12 08:10:00,카톡,상담원12,제품 문의,해결완료,110,만족,2024-02-01 22:26:00,재문의 필요
SVC000145,CUST00494,PROD0007,2024-01-16 09:12:00,이메일,상담원13,결제 오류,진행중,106,만족,,긴급 처리
SVC000146,CUST00644,PROD0026,2024-06-27 19:17:00,SNS,상담원14,배송 지연,진행중,63,만족,2024-01-01 03:25:00,긴급 처리
SVC000147,CUST00614,PROD0047,2024-01-14 14:41:00,SNS,상담원5,서비스 문의,진행중,32,만족,2024-03-05 22:08:00,
SVC000148,CUST00019,PROD0050,2024-01-03 02:24:00,전화,상담원16,제품 불량,진행중,28,보통,2024-06-13 18:07:00,긴급 처리
SVC000149,CUST00454,PROD0012,2024-06-18 08:42:00,라이브채팅,상담원7,가격 정보 문의,진행중,55,만족,2024-03-04 04:45:00,고객 피드백 있음
SVC000150,CUST00482,PROD0031,2024-06-17 11:55:00,라이브채팅,상담원15,제품 문의,진행중,25,보통,,긴급 처리
SVC000151,CUST00594,PROD0017,2024-01-28 00:18:00,전화,상담원13,반품/교환,해결완료,35,만족,2024-01-12 23:04:00,
SVC000152,CUST00397,PROD0033,2024-06-15 12:14:00,SNS,상담원16,계정 문제,해결완료,79,불만족,2024-02-04 06:17:00,
SVC000153,CUST00279,PROD0011,2024-04-07 16:45:00,SNS,상담원12,프로모션 문의,해결완료,54,만족,2024-05-27 00:41:00,영구차단 고객
SVC000154,CUST00851,PROD0028,2024-01-26 10:31:00,라이브채팅,상담원7,제품 불량,해결완료,96,만족,,긴급 처리
SVC000155,CUST00365,PROD0032,2024-06-01 17:05:00,이메일,상담원16,반품/교환,해결완료,116,보통,,재문의 필요
SVC000156,CUST00331,PROD0001,2024-02-17 06:32:00,카톡,상담원13,결제 오류,해결완료,44,매우만족,2024-04-15 03:21:00,영구차단 고객
SVC000157,CUST00641,PROD0047,2024-04-27 17:59:00,이메일,상담원3,서비스 문의,미해결,72,만족,,재문의 필요
SVC000158,CUST00344,PROD0028,2024-01-06 01:15:00,SNS,상담원15,제품 문의,해결완료,111,보통,,
SVC000159,CUST00822,PROD0042,2024-05-15 09:21:00,이메일,상담원3,가격 정보 문의,해결완료,110,매우만족,2024-02-01 11:20:00,재문의 필요
SVC000160,CUST00455,PROD0007,2024-05-05 12:47:00,카톡,상담원7,제품 불량,대기중,20,만족,2024-04-06 21:33:00,재문의 필요
SVC000161,CUST00601,PROD0002,2024-02-10 00:22:00,이메일,상담원18,제품 문의,해결완료,80,만족,2024-04-23 21:12:00,
SVC000162,CUST00725,PROD0042,2024-06-24 11:22:00,이메일,상담원14,배송 지연,해결완료,90,매우불만족,2024-02-07 06:24:00,고객 피드백 있음
SVC000163,CUST00655,PROD0024,2024-06-09 09:15:00,이메일,상담원18,배송 지연,해결완료,103,불만족,2024-06-19 21:15:00,고객 피드백 있음
SVC000164,CUST00065,PROD0004,2024-05-08 08:51:00,이메일,상담원19,배송 지연,해결완료,111,매우만족,2024-03-11 13:03:00,
SVC000165,CUST00076,PROD0044,2024-01-16 20:16:00,전화,상담원14,계정 문제,해결완료,67,만족,,
SVC000166,CUST00711,PROD0019,2024-04-09 00:35:00,SNS,상담원20,프로모션 문의,해결완료,60,매우만족,2024-02-10 01:50:00,
SVC000167,CUST00143,PROD0026,2024-03-12 07:09:00,카톡,상담원6,결제 오류,대기중,84,매우만족,2024-01-16 23:29:00,
SVC000168,CUST00917,PROD0011,2024-03-28 12:42:00,SNS,상담원8,반품/교환,해결완료,28,보통,2024-02-22 13:07:00,재문의 필요
SVC000169,CUST00915,PROD0040,2024-02-05 02:46:00,전화,상담원7,제품 문의,해결완료,103,매우만족,2024-02-06 09:17:00,영구차단 고객
SVC000170,CUST00828,PROD0050,2024-04-07 16:43:00,전화,상담원20,반품/교환,진행중,32,매우만족,,영구차단 고객
SVC000171,CUST00605,PROD0043,2024-06-05 20:43:00,전화,상담원18,반품/교환,해결완료,110,매우불만족,2024-05-01 16:04:00,
SVC000172,CUST00473,PROD0011,2024-02-28 13:15:00,전화,상담원18,제품 문의,해결완료,97,불만족,2024-03-30 09:41:00,
SVC000173,CUST00417,PROD0045,2024-05-26 04:27:00,이메일,상담원15,프로모션 문의,대기중,89,보통,,
SVC000174,CUST00305,PROD0003,2024-03-20 19:21:00,SNS,상담원20,계정 문제,미해결,116,불만족,,긴급 처리
SVC000175,CUST00736,PROD0012,2024-04-24 17:08:00,라이브채팅,상담원19,계정 문제,대기중,93,보통,2024-05-02 12:17:00,
SVC000176,CUST00497,PROD0003,2024-02-22 20:08:00,카톡,상담원2,서비스 문의,해결완료,107,매우만족,,재문의 필요
SVC000177,CUST00291,PROD0042,2024-05-28 17:43:00,전화,상담원8,결제 오류,미해결,35,만족,,긴급 처리
SVC000178,CUST00940,PROD0027,2024-02-21 04:19:00,SNS,상담원11,서비스 문의,해결완료,19,만족,2024-01-05 07:41:00,
SVC000179,CUST00102,PROD0049,2024-06-25 22:57:00,전화,상담원18,프로모션 문의,해결완료,115,만족,2024-02-26 17:32:00,
SVC000180,CUST00986,PROD0002,2024-05-14 04:27:00,전화,상담원13,반품/교환,해결완료,46,불만족,2024-02-07 03:17:00,
SVC000181,CUST00267,PROD0049,2024-02-07 20:59:00,전화,상담원9,결제 오류,대기중,103,만족,2024-05-13 08:44:00,영구차단 고객
SVC000182,CUST00867,PROD0016,2024-05-24 05:20:00,전화,상담원9,서비스 문의,해결완료,106,매우만족,,
SVC000183,CUST00968,PROD0002,2024-01-18 17:34:00,전화,상담원17,서비스 문의,진행중,54,매우만족,2024-05-12 09:47:00,고객 피드백 있음
SVC000184,CUST00622,PROD0030,2024-01-31 05:20:00,카톡,상담원7,배송 지연,대기중,90,매우만족,2024-01-17 18:56:00,
SVC000185,CUST00974,PROD0020,2024-02-07 23:01:00,SNS,상담원9,계정 문제,해결완료,9,불만족,,재문의 필요
SVC000186,CUST00842,PROD0038,2024-03-22 13:26:00,전화,상담원1,기술 지원,진행중,52,보통,2024-03-05 07:48:00,재문의 필요
SVC000187,CUST00962,PROD0028,2024-03-18 14:47:00,전화,상담원2,서비스 문의,해결완료,17,만족,2024-05-22 19:36:00,
SVC000188,CUST00942,PROD0025,2024-06-12 23:17:00,전화,상담원4,제품 불량,해결완료,36,만족,2024-05-15 05:40:00,재문의 필요
SVC000189,CUST00777,PROD0032,2024-02-08 06:06:00,전화,상담원14,배송 지연,해결완료,71,보통,2024-05-15 00:09:00,긴급 처리
SVC000190,CUST00003,PROD0010,2024-02-03 05:01:00,이메일,상담원4,반품/교환,진행중,83,보통,2024-03-24 22:49:00,영구차단 고객
SVC000191,CUST00085,PROD0042,2024-06-05 19:17:00,이메일,상담원2,가격 정보 문의,해결완료,95,만족,2024-05-25 10:00:00,긴급 처리
SVC000192,CUST00794,PROD0040,2024-06-04 18:39:00,라이브채팅,상담원8,계정 문제,대기중,95,매우불만족,2024-02-17 03:46:00,
SVC000193,CUST00328,PROD0033,2024-02-29 19:14:00,전화,상담원18,프로모션 문의,미해결,34,매우불만족,2024-04-18 08:44:00,재문의 필요
SVC000194,CUST00816,PROD0013,2024-02-29 21:01:00,라이브채팅,상담원19,제품 문의,미해결,10,매우불만족,2024-05-30 06:40:00,긴급 처리
